prod_key,prod_code,prod_group,Plant,brand,strength,molecule,therapy_area,form,pack_size,price
1,P00001,GYNECOLOGY,Plant 1,Brand A,1.80MG,"ACEBROPHYLLINE, METHYLPARABEN IP, PROPLYPARABEN IP",GYNEC,TABLETS,10 TABLETS PER STRIP,688
2,P00002,GYNECOLOGY,Plant 1,Brand A,0.5 MG,"ALFUZOSIN HYDROCHLORIDE BP, DUTASTERIDE",GYNEC,TABLETS,10 TABLETS PER STRIP,131
2,P00002,GYNECOLOGY,Plant 1,Brand A,0.5 MG,"ALFUZOSIN HYDROCHLORIDE BP, DUTASTERIDE",GYNEC,TABLETS,10 TABLETS PER STRIP,131
3,P00003,GYNECOLOGY,Plant 1,Brand A,1MG,ANASTROZOLE,GYNEC,TABLETS,5 TABLETS PER STRIP,430
4,P00005,OPTHALMOLOGY,Plant 2,Brand B,0.05%,"BRIMONIDINE TARTRATE, TIMOLOL, BENZALKONIUM CHLORIDE",OPTHO,DROPS,1 BOTTLE,280
5,P00006,OPTHALMOLOGY,Plant 2,Brand B,0.10%,"BRIMONIDINE TARTRATE, OXYCHLORO COMPLEX",OPTHO,DROPS,1 BTL,922
6,P00007,OPTHALMOLOGY,Plant 2,Brand B,0.08%,BRIMONIDINE TARTRATE,OPTHO,DROPS,1 BOTTLE,788
7,P00009,RESPIRATORY,Plant 3,Brand C,40MG,TESTOSTERONE UNDECANOATE,RESPIRATORY,TABLETS,10 TABLETS PER STRIP,287
null,null,null,null,null,null,null,null,null,null,null
8,P00010,RESPIRATORY,Plant 3,Brand C,10MG,CETIRIZINE DIHYDROCHLORIDE,RESPIRATORY,TABLETS,10 TABLETS PER STRIP,788
9,P00011,RESPIRATORY,Plant 3,Brand C,5MG,CETIRIZINE DIHYDROCHLORIDE,RESPIRATORY,TABLETS,10 TABLETS PER STRIP,186
10,P00012,RESPIRATORY,Plant 3,Brand C,20MG,"CETIRIZINE HYDROCHLORIDE BP, PHENYLEPHRINE HYDROCHLORIDE IP",RESPIRATORY,TABLETS,10 TABLETS PER STRIP,427
11,P00013,GASTROENTEROLOGY,Plant 4,Brand D,10MG,SODIUM PICOSULPHATE BP,GASTROENTEROLOGY,TABLETS,10 TABLETS PER STRIP,333
12,P00015,RESPIRATORY,Plant 5,Brand E,100MCG,SALMETEROL . FLUTICASONE PROPIONATE BP,RESPIRATORY,INHALER,1 DISK  INHALLER,161
13,P00016,RESPIRATORY,Plant 5,Brand E,250MCG,SALMETEROL. FLUTICASONE PROPIONATE BP,RESPIRATORY,INHALER,1 DISK  INHALLER,187
14,P00017,RESPIRATORY,Plant 5,Brand E,650MCG,SALMETEROL. FLUTICASONE PROPIONATE BP,RESPIRATORY,N/A, ,258
,,,,,,,,,,
15,P00018,OPTHALMOLOGY,Plant 6,Brand F,0.5MG,CYCLOSPORINE USP,OPTHO,TABLETS,10 TABLETS PER STRIP,737
16,P00019,OPTHALMOLOGY,Plant 6,Brand F,0.1MG,DARIFENACIN,OPTHO,TABLETS,10 TABLETS PER STRIP,396
17,P00020,OPTHALMOLOGY,Plant 6,Brand F,0.8MG,DESLORATIDINE,OPTHO,TABLETS,10 TABLETS PER STRIP,843
18,P00021,CANCER,Plant 7,Brand G,20MG,DOCETAXEL ANHYDROUS,CANCER,VIALS,1 VIAL,687
19,P00022,CANCER,Plant 7,Brand G,10MG,DOCETAXEL ANHYDROUS,CANCER,NA, ,181
20,P00023,CANCER,Plant 7,Brand G,80MG,DOCETAXEL ANHYDROUS,CANCER,VIALS,1 VIAL,857
